Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Win Bytes Fwd,Init Win Bytes Bwd,Act Data Pkt Fwd,Min Seg Size Fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.31.123-104.115.243.69-35266-443-6,192.168.31.123,35266,104.115.243.69,443,6,10/04/2018 02:46:29,627267,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.782652363347665,313633.5,439331.80711223267,624288.0,2979.0,627267.0,627267.0,0.0,627267.0,627267.0,0,0,0,0,0,0,0,0,0,64,32,3.1884349088984436,1.5942174544492218,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,342,1116,0,32,0,0,0,0,0,0,0,0,CIC
192.168.31.123-104.115.243.69-35532-443-6,192.168.31.123,35532,104.115.243.69,443,6,10/04/2018 02:46:29,627416,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.781516569548753,313708.0,439454.1365853779,624449.0,2967.0,627416.0,627416.0,0.0,627416.0,627416.0,0,0,0,0,0,0,0,0,0,64,32,3.187677713032502,1.593838856516251,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,248,1120,0,32,0,0,0,0,0,0,0,0,CIC
192.168.31.123-203.69.81.81-38622-443-6,192.168.31.123,38622,203.69.81.81,443,6,10/04/2018 02:46:30,3939,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,7870.017771007871,1015.4861640010156,1313.0,2185.9222310045707,3837.0,33.0,3906.0,3906.0,0.0,3906.0,3906.0,102.0,102.0,0.0,102.0,102.0,0,0,0,0,52,64,507.7430820005078,507.7430820005078,0.0,31.0,6.2,13.863621460498697,192.20000000000002,0,0,0,0,1,1,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,2,0,2,31,432,258,0,20,0,0,0,0,0,0,0,0,CIC
192.168.31.123-104.115.244.229-35396-443-6,192.168.31.123,35396,104.115.244.229,443,6,10/04/2018 02:46:30,4378,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,7080.858839652809,913.6592051164915,1459.3333333333335,2484.3480700846517,4328.0,18.0,4360.0,4360.0,0.0,4360.0,4360.0,50.0,50.0,0.0,50.0,50.0,0,0,0,0,52,64,456.82960255824577,456.82960255824577,0.0,31.0,6.2,13.863621460498697,192.20000000000002,0,0,0,0,1,1,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,2,0,2,31,387,1029,0,20,0,0,0,0,0,0,0,0,CIC
192.168.31.123-104.115.243.69-35266-443-6,104.115.243.69,443,192.168.31.123,35266,6,10/04/2018 02:46:30,62,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,500000.0,48387.096774193546,31.0,15.556349186104045,42.0,20.0,62.0,62.0,0.0,62.0,62.0,0,0,0,0,0,1,0,0,0,64,20,32258.06451612903,16129.032258064515,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,1116,0,0,32,0,0,0,0,0,0,0,0,CIC
192.168.31.123-104.115.243.69-35532-443-6,104.115.243.69,443,192.168.31.123,35532,6,10/04/2018 02:46:30,38,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,815789.4736842104,78947.36842105263,19.0,5.656854249492381,23.0,15.0,38.0,38.0,0.0,38.0,38.0,0,0,0,0,0,1,0,0,0,64,20,52631.57894736842,26315.78947368421,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,1120,0,0,32,0,0,0,0,0,0,0,0,CIC
192.168.31.123-104.115.172.104-53334-443-6,192.168.31.123,53334,104.115.172.104,443,6,10/04/2018 02:46:30,6922,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,4478.474429355678,577.8676683039583,2307.333333333333,3920.2409789875587,6834.0,28.0,6894.0,6894.0,0.0,6894.0,6894.0,88.0,88.0,0.0,88.0,88.0,0,0,0,0,52,64,288.93383415197917,288.93383415197917,0.0,31.0,6.2,13.863621460498697,192.20000000000002,0,0,0,0,1,1,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,2,0,2,31,953,972,0,20,0,0,0,0,0,0,0,0,CIC
192.168.31.123-104.115.173.7-55152-443-6,192.168.31.123,55152,104.115.173.7,443,6,10/04/2018 02:46:30,7939,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,3904.7739009950874,503.84179367678547,2646.333333333333,4513.447942907211,7858.0,30.0,7909.0,7909.0,0.0,7909.0,7909.0,81.0,81.0,0.0,81.0,81.0,0,0,0,0,52,64,251.92089683839274,251.92089683839274,0.0,31.0,6.2,13.863621460498697,192.20000000000002,0,0,0,0,1,1,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,2,0,2,31,387,972,0,20,0,0,0,0,0,0,0,0,CIC
192.168.31.123-64.39.96.42-44688-443-6,192.168.31.123,44688,64.39.96.42,443,6,10/04/2018 02:46:30,130172,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.364287250714439,130172.0,0.0,130172.0,130172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.682143625357219,7.682143625357219,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,43890,40958,0,20,0,0,0,0,0,0,0,0,CIC
142.0.160.13-192.168.31.123-443-60808-6,192.168.31.123,60808,142.0.160.13,443,6,10/04/2018 02:46:30,204424,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.675380581536414,102212.0,144457.67275572455,204359.0,65.0,0,0,0,0,0,65.0,65.0,0.0,65.0,65.0,0,0,0,0,32,64,4.891793527178805,9.78358705435761,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,38802,5260,0,32,0,0,0,0,0,0,0,0,CIC
